Stratum,Search Terms,Term Type,minumum age (MYA),maximum age (MYA),supereon,eon_eonothem,era_erathem,system_period,series_epoch,stage_age,relative_sort_order
Chibanian,Chibanian,stage_age,0.129,0.774,,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Chibanian,5
Gelasian,Gelasian,stage_age,1.8,2.58,,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Gelasian,5
Upper Pleistocene,Upper Pleistocene,stage_age,0.0117,0.129,,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Upper Pleistocene,5
Pleistocene,"Pleistocene,Upper Pleistocene,Chibanian,Calabrian,Gelasian",series_epoch,0.0117,2.58,,Phanerozoic,Cenozoic,Quaternary,Pleistocene,,4
Quaternary,"Quaternary,Holocene,Meghalayan,Northgrippian,Greenlandian,Pleistocene,Upper Pleistocene,Chibanian,Calabrian,Gelasian",system_period,0,2.58,,Phanerozoic,Cenozoic,Quaternary,,,3
Cenozoic,"Cenozoic,Paleogene,Oligocene,Chattian,Rupelian,Eocene,Priabonian,Bartonian,Lutetian,Ypresian,Paleocene,Thanetian,Selandian,Danian,Neogene,Pliocene,Piacenzian,Zanclean,Miocene,Messinian,Tortonian,Serravallian,Langhian,Burdigalian,Aquitanian,Quaternary,Holocene,Meghalayan,Northgrippian,Greenlandian,Pleistocene,Upper Pleistocene,Chibanian,Calabrian,Gelasian",era_erathem,0,66,,Phanerozoic,Cenozoic,,,,2
Albian,Albian,stage_age,100.5,113,,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,Albian,5
Aptian,Aptian,stage_age,113,121.4,,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,Aptian,5
Barremian,Barremian,stage_age,121.4,125.77,,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,Barremian,5
Berriasian,Berriasian,stage_age,139.8,145,,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,Berriasian,5
Hauterivian,Hauterivian,stage_age,125.77,132.6,,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,Hauterivian,5
Valanginian,Valanginian,stage_age,132.6,139.8,,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,Valanginian,5
Lower Cretaceous,"Lower Cretaceous,Albian,Aptian,Barremian,Hauterivian,Valanginian,Berriasian",series_epoch,100.5,145,,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,,4
Campanian,Campanian,stage_age,72.1,83.6,,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,Campanian,5
Cenomanian,Cenomanian,stage_age,93.9,100.5,,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,Cenomanian,5
Coniacian,Coniacian,stage_age,86.3,89.8,,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,Coniacian,5
Maastrichtian,Maastrichtian,stage_age,66,72.1,,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,Maastrichtian,5
Santonian,Santonian,stage_age,83.6,86.3,,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,Santonian,5
Turonian,Turonian,stage_age,89.8,93.9,,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,Turonian,5
Upper Cretaceous,"Upper Cretaceous,Maastrichtian,Campanian,Santonian,Coniacian,Turonian,Cenomanian",series_epoch,66,100.5,,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,,4
Cretaceous,"Cretaceous,Lower Cretaceous,Albian,Aptian,Barremian,Hauterivian,Valanginian,Berriasian,Upper Cretaceous,Maastrichtian,Campanian,Santonian,Coniacian,Turonian,Cenomanian",system_period,66,145,,Phanerozoic,Mesozoic,Cretaceous,,,3
Hettangian,Hettangian,stage_age,199.5,201.4,,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,Hettangian,5
Pliensbachian,Pliensbachian,stage_age,184.2,192.2,,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,Pliensbachian,5
Sinemurian,Sinemurian,stage_age,192.2,199.5,,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,Sinemurian,5
Toarcian,Toarcian,stage_age,174.7,184.2,,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,Toarcian,5
Lower Jurassic,"Lower Jurassic,Toarcian,Pliensbachian,Sinemurian,Hettangian",series_epoch,174.7,201.4,,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,,4
Aalenian,Aalenian,stage_age,170.9,174.7,,Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,Aalenian,5
