Stratum,Search Terms,Term Type,minumum age (MYA),maximum age (MYA),supereon,eon_eonothem,era_erathem,system_period,series_epoch,stage_age,relative_sort_order
Lower Mississippian,"Lower Mississippian,Tournaisian",series_epoch,346.7,358.9,,Phanerozoic,Paleozoic,Carboniferous,"Mississippian,Lower Mississippian",,4
Visean,Visean,stage_age,330.9,346.7,,Phanerozoic,Paleozoic,Carboniferous,"Mississippian,Middle Mississippian",Visean,5
Middle Mississippian,"Middle Mississippian,Visean",series_epoch,330.9,346.7,,Phanerozoic,Paleozoic,Carboniferous,"Mississippian,Middle Mississippian",,4
Serpukhovian,"Upper Mississippian,Serpukhovian",stage_age,323.2,330.9,,Phanerozoic,Paleozoic,Carboniferous,"Mississippian,Upper Mississippian",Serpukhovian,5
Upper Mississippian,"Upper Mississippian,Serpukhovian",series_epoch,323.2,330.9,,Phanerozoic,Paleozoic,Carboniferous,"Mississippian,Upper Mississippian",,4
Pennsylvanian,"Pennsylvanian,Lower Pennsylvanian,Bashkirian,Middle Pennsylvanian,Moscovian,Upper Pennsylvanian,Gzhelian,Kasimovian",series_epoch,298.9,323.2,,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,,4
Bashkirian,"Lower Pennsylvanian,Bashkirian",stage_age,315.2,323.2,,Phanerozoic,Paleozoic,Carboniferous,"Pennsylvanian,Lower Pennsylvanian",Bashkirian,5
Lower Pennsylvanian,"Lower Pennsylvanian,Bashkirian",series_epoch,315.2,323.2,,Phanerozoic,Paleozoic,Carboniferous,"Pennsylvanian,Lower Pennsylvanian",,4
Moscovian,"Middle Pennsylvanian,Moscovian",stage_age,307,315.2,,Phanerozoic,Paleozoic,Carboniferous,"Pennsylvanian,Middle Pennsylvanian",Moscovian,5
Middle Pennsylvanian,"Middle Pennsylvanian,Moscovian",series_epoch,307,315.2,,Phanerozoic,Paleozoic,Carboniferous,"Pennsylvanian,Middle Pennsylvanian",,4
Gzhelian,Gzhelian,stage_age,298.9,303.7,,Phanerozoic,Paleozoic,Carboniferous,"Pennsylvanian,Upper Pennsylvanian",Gzhelian,5
Kasimovian,Kasimovian,stage_age,303.7,307,,Phanerozoic,Paleozoic,Carboniferous,"Pennsylvanian,Upper Pennsylvanian",Kasimovian,5
Upper Pennsylvanian,"Upper Pennsylvanian,Gzhelian,Kasimovian",series_epoch,298.9,307,,Phanerozoic,Paleozoic,Carboniferous,"Pennsylvanian,Upper Pennsylvanian",,4
